"COU","Country","SMALL_SUBNATIONAL_REGION","Small subnational region","LARGE_SUBNATIONAL_REGION","Large subnational region","MEAS","Measure","VARIABLE","Land cover class","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SPARSE_VEGETATION","Sparse vegetation","1992","1992",,,"0","Units",,,9.8160832387,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SPARSE_VEGETATION","Sparse vegetation","2004","2004",,,"0","Units",,,7.6961927581,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SPARSE_VEGETATION","Sparse vegetation","2015","2015",,,"0","Units",,,6.805677847,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SPARSE_VEGETATION","Sparse vegetation","2018","2018",,,"0","Units",,,6.8875844504,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SPARSE_VEGETATION","Sparse vegetation","2019","2019",,,"0","Units",,,6.9686226398,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","1992","1992",,,"0","Units",,,0.142456655,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","2004","2004",,,"0","Units",,,0.1990505983,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","2015","2015",,,"0","Units",,,0.355071053,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","2018","2018",,,"0","Units",,,0.3812291532,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","2019","2019",,,"0","Units",,,0.4096846449,,
"ISR","Israel","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","1992","1992",,,"0","Units",,,0.130219927,,
"ISR","Israel","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2004","2004",,,"0","Units",,,0.12984893,,
"ISR","Israel","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2015","2015",,,"0","Units",,,0.1291069362,,
"ISR","Israel","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2018","2018",,,"0","Units",,,0.1265099576,,
"ISR","Israel","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2019","2019",,,"0","Units",,,0.1265099576,,
"ISR","Israel","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","CROPL","Cropland","1992","1992",,,"0","Units",,,30.6406375211,,
